terms
asian driver
asiandriver
chinese driver
chinesedriver
banana
twinkie
chinaman
chinese fire drill
chinesefire drill
chinese firedrill
chinesefiredrill
chinese restaurant syndrome
chineserestaurant syndrome
chinese restaurantsyndrome
chineserestaurantsyndrome
dragon lady
dragonlady
fu manchu
fumanchu
lotus blossom
lotusblossom
china doll
chinadoll
oriental
rice burner
riceburner
ricer
rice machine
ricemachine
sick man of asia
sickmanofasia
tiger mom
tigermom
zipper head
zipperhead
