GEOID,vics,off,GST.interest,n,hateful_tweets,users,hateful_users,sent_neg,sent_neu,sent_pos,sent_neg_sum,sent_neu_sum,sent_pos_sum,sent_compound,monthly_variation,weekly_variation,ALB,pop2020,tweets_rate,hateful_tweets_prop,hateful_tweets_rate,tweets_per_user,user_rate,hateful_tweets_per_user,hateful_tweets_per_hateful_users,vics_rate,off_rate,vics_off,pc1,pc2,pc3
1051,0,0,0.439252336,938,7,266,7,0.060690832,0.7964371,0.142885928,56.928,747.058,134.027,0.230927932,0.678321678,0.869565217,3,81526,0.011505532,0.007454739,8.59E-05,3.513108614,0.003262763,0.026217228,0.875,0,0,0,0.035209444,0.460930146,-0.014303165
1055,0,0,0.46728972,2654,26,419,19,0.080575735,0.806363979,0.113061417,213.848,2140.09,300.065,0.100650414,0.55922865,0.837837838,3,102721,0.025836976,0.009792844,0.000253113,6.319047619,0.00407901,0.061904762,1.3,0,0,0,-0.05054316,0.444006293,-0.108548874
1065,0,0,0.46728972,150,0,35,0,0.072193333,0.773033333,0.15476,10.829,115.955,23.214,0.241406,0.772727273,0.875,3,14754,0.010166734,0,0,4.166666667,0.002372238,0,0,0,0,0,0.096365753,0.47059083,-0.004156173
1089,0,0,0.420560748,16962,136,2414,92,0.079609775,0.810076996,0.110310577,1350.341,13740.526,1871.088,0.104362186,0.528686783,0.757575758,3,367686,0.046131754,0.00801745,0.000369881,7.023602484,0.006565385,0.0563147,1.462365591,0,0,0,-0.127095437,0.434299715,-0.083524766
1113,0,0,0.563862928,1249,3,253,3,0.081279424,0.803451561,0.115277822,101.518,1003.511,143.982,0.141052842,0.582278481,0.95505618,3,57938,0.021557527,0.0024,5.18E-05,4.917322835,0.004366737,0.011811024,0.75,0,0,0,0.049435101,0.453844834,-0.169680701
1117,0,0,0.46728972,12382,90,2196,81,0.077926102,0.815948312,0.106126393,964.881,10103.072,1314.057,0.087775246,0.662248144,0.774021352,3,216350,0.057231338,0.007268029,0.000415993,5.635867091,0.01015022,0.040964952,1.097560976,0,0,0,-0.03044924,0.448322396,-0.079779735
5011,0,0,0.352024922,98,1,16,1,0.097510204,0.786010204,0.116479592,9.556,77.029,11.415,0.055271429,0.923076923,0.916666667,3,10805,0.009069875,0.01010101,9.25E-05,5.764705882,0.001480796,0.058823529,0.5,0,0,0,0.226352721,0.500543952,0.026475359
5015,0,0,0.445482866,124,1,55,1,0.05408871,0.841806452,0.104096774,6.707,104.384,12.908,0.207795968,0.88,0.9,3,28062,0.004418787,0.008,3.56E-05,2.214285714,0.001959946,0.017857143,0.5,0,0,0,0.180516488,0.486186099,0.041121854
5019,0,0,0.352024922,519,1,133,1,0.07855684,0.809287091,0.112157996,40.771,420.02,58.21,0.128977649,0.577464789,0.88,3,22341,0.023230831,0.001923077,4.48E-05,3.873134328,0.00595318,0.007462687,0.5,0,0,0,-0.016653776,0.457057852,-0.037415868
5025,0,0,0.352024922,2,0,2,0,0.1565,0.8085,0.035,0.313,1.617,0.07,-0.5627,0,0,3,8063,0.000248047,0,0,0.666666667,0.000248047,0,0,0,0,0,-1.009849109,0.298896249,-0.094861875
5063,0,0,0.352024922,291,0,96,0,0.060494845,0.833305842,0.10624055,17.604,242.492,30.916,0.122005842,0.843137255,0.9375,3,37585,0.00774245,0,0,3,0.00255421,0,0,0,0,0,0.184180501,0.492234984,0.049465433
5067,0,0,0.352024922,112,0,36,0,0.067794643,0.837580357,0.094642857,7.593,93.809,10.6,0.069339286,0.714285714,0.909090909,3,16908,0.006624083,0,0,3.027027027,0.00212917,0,0,0,0,0,0.085740456,0.475212418,0.006713884
5121,0,0,0.140186916,133,1,16,1,0.065466165,0.831338346,0.103233083,8.707,110.568,13.73,0.093232331,0.944444444,0.916666667,3,17934,0.007416081,0.007462687,5.58E-05,7.823529412,0.00089216,0.058823529,0.5,0,0,0,0.228872172,0.513878849,0.178021466
6001,33,30,0.965732087,139380,1047,16423,693,0.082821129,0.811375506,0.105802454,11543.609,113089.518,14746.746,0.07668533,0.668179697,0.828934641,2,1661584,0.083883812,0.007511784,0.000630122,8.486361422,0.009883942,0.063748173,1.508645533,1.99E-05,1.81E-05,1.064516129,0.093458296,0.093853736,-0.405186465
6003,0,0,0.457943925,13,0,12,0,0.008,0.915846154,0.076153846,0.104,11.906,0.99,0.275538462,0.666666667,0.666666667,2,1159,0.011216566,0,0,1,0.010353753,0,0,0,0,0,-0.0770655,0.105176932,0.110195128
6005,0,0,0.61682243,320,1,92,1,0.063090625,0.80021875,0.136696875,20.189,256.07,43.743,0.241207813,0.795918367,0.954545455,2,39023,0.008200292,0.003115265,2.56E-05,3.440860215,0.002357584,0.010752688,0.5,0,0,0,0.228240873,0.14492385,-0.079490691
6013,11,8,0.965732087,54371,362,7717,264,0.085346159,0.807377775,0.107275919,4640.356,43897.937,5832.699,0.073122264,0.665361378,0.81598579,2,1147788,0.047370246,0.006657839,0.000315389,7.0447007,0.006723367,0.046903343,1.366037736,9.58E-06,6.97E-06,1.222222222,0.074559595,0.091883243,-0.36818116
6019,1,1,0.401869159,43749,326,6140,194,0.086739605,0.803284418,0.109972297,3794.771,35142.89,4811.178,0.08299677,0.690313046,0.83019657,2,990204,0.044181805,0.007451429,0.000329225,7.124084025,0.006200742,0.053085817,1.671794872,1.01E-06,1.01E-06,0.5,0.081345358,0.131687081,-0.058184436
6023,0,0,0.299065421,4202,22,599,16,0.096810566,0.807445264,0.095740838,406.798,3392.885,402.303,-0.005579248,0.590136054,0.798913043,2,136101,0.03087413,0.005234356,0.000161645,7.003333333,0.004401143,0.036666667,1.294117647,0,0,0,-0.00857438,0.125445509,-0.018913929
